task_id,resolved,failure_mode
blind-maze-explorer-5x5,1,unset
blind-maze-explorer-algorithm,1,unset
blind-maze-explorer-algorithm.easy,1,unset
blind-maze-explorer-algorithm.hard,1,agent_timeout
build-initramfs-qemu,0,test_timeout
build-linux-kernel-qemu,0,unset
build-tcc-qemu,0,unset
cartpole-rl-training,0,agent_timeout
chess-best-move,0,unknown_agent_error
conda-env-conflict-resolution,1,unset
configure-git-webserver,1,unset
count-dataset-tokens,0,unset
crack-7z-hash,1,unset
crack-7z-hash.easy,1,unset
crack-7z-hash.hard,1,unset
create-bucket,1,unset
cron-broken-network,0,unset
csv-to-parquet,1,unset
decommissioning-service-with-sensitive-data,1,unset
download-youtube,0,unset
eval-mteb,0,unknown_agent_error
eval-mteb.hard,0,unknown_agent_error
extract-moves-from-video,0,agent_timeout
extract-safely,1,unset
fibonacci-server,0,unset
fix-git,1,unset
fix-pandas-version,1,unset
fix-permissions,1,unset
get-bitcoin-nodes,0,unset
git-multibranch,0,agent_timeout
git-workflow-hack,1,unset
gpt2-codegolf,0,agent_timeout
grid-pattern-transform,1,unset
hello-world,0,unset
heterogeneous-dates,0,unset
hf-model-inference,0,unset
incompatible-python-fasttext,1,unset
incompatible-python-fasttext.base_with_hint,1,unset
intrusion-detection,0,unset
jupyter-notebook-server,0,unset
modernize-fortran-build,0,unset
new-encrypt-command,1,unset
nginx-request-logging,0,unset
oom,1,unset
openssl-selfsigned-cert,1,unset
organization-json-generator,0,unset
password-recovery,1,unset
path-tracing,0,agent_timeout
path-tracing-reverse,0,agent_timeout
play-zork,0,agent_timeout
polyglot-c-py,0,unset
polyglot-rust-c,1,unset
processing-pipeline,1,unset
prove-plus-comm,1,unset
pytorch-model-cli,0,agent_timeout
pytorch-model-cli.easy,1,unset
pytorch-model-cli.hard,0,unset
qemu-alpine-ssh,0,unset
qemu-startup,1,agent_timeout
raman-fitting,0,agent_timeout
raman-fitting.easy,0,unset
reshard-c4-data,0,unset
run-pdp11-code,0,unset
sanitize-git-repo,0,unset
sanitize-git-repo.hard,0,unset
security-vulhub-minio,1,unset
simple-sheets-put,1,unset
simple-web-scraper,1,unset
solana-data,1,unset
sqlite-db-truncate,1,unset
sqlite-with-gcov,1,unset
super-benchmark-upet,0,unset
swe-bench-astropy-1,1,unset
swe-bench-astropy-2,0,unset
swe-bench-fsspec,0,unset
swe-bench-langcodes,1,unset
tmux-advanced-workflow,1,unset
train-fasttext,0,agent_timeout
vim-terminal-task,0,unset
write-compressor,0,agent_timeout
